"","unit","airpol","geo","time","values"
"182","MIO_T","HFC_PFC_NSP_CO2E","LU",2019-01-01,NA
"183","MIO_T","HFC_PFC_NSP_CO2E","LV",2019-01-01,NA
"184","MIO_T","HFC_PFC_NSP_CO2E","MT",2019-01-01,NA
"185","MIO_T","HFC_PFC_NSP_CO2E","NL",2019-01-01,NA
"186","MIO_T","HFC_PFC_NSP_CO2E","PL",2019-01-01,NA
"187","MIO_T","HFC_PFC_NSP_CO2E","PT",2019-01-01,NA
"188","MIO_T","HFC_PFC_NSP_CO2E","RO",2019-01-01,NA
"189","MIO_T","HFC_PFC_NSP_CO2E","SE",2019-01-01,NA
"190","MIO_T","HFC_PFC_NSP_CO2E","SI",2019-01-01,NA
"191","MIO_T","HFC_PFC_NSP_CO2E","SK",2019-01-01,NA
"192","MIO_T","HFC_PFC_NSP_CO2E","UK",2019-01-01,NA
"193","MIO_T","N2O","AT",2019-01-01,0.01165
"194","MIO_T","N2O","BE",2019-01-01,0.0187
"195","MIO_T","N2O","BG",2019-01-01,0.01898
"196","MIO_T","N2O","CY",2019-01-01,0.00089
"197","MIO_T","N2O","CZ",2019-01-01,0.01868
"198","MIO_T","N2O","DE",2019-01-01,0.1188
"199","MIO_T","N2O","DK",2019-01-01,0.01854
"200","MIO_T","N2O","EE",2019-01-01,0.00328
"201","MIO_T","N2O","EL",2019-01-01,0.01451
"202","MIO_T","N2O","ES",2019-01-01,0.062
"203","MIO_T","N2O","EU27_2020",2019-01-01,0.72892
"204","MIO_T","N2O","EU28",2019-01-01,0.79775
"205","MIO_T","N2O","EU28_IS_K",2019-01-01,0.79928
"206","MIO_T","N2O","FI",2019-01-01,0.01628
"207","MIO_T","N2O","FR",2019-01-01,0.13021
"208","MIO_T","N2O","HR",2019-01-01,0.00576
"209","MIO_T","N2O","HU",2019-01-01,0.01639
"210","MIO_T","N2O","IE",2019-01-01,0.02309
"211","MIO_T","N2O","IS",2019-01-01,0.00102
"212","MIO_T","N2O","IT",2019-01-01,0.05812
"213","MIO_T","N2O","LT",2019-01-01,0.00981
"214","MIO_T","N2O","LU",2019-01-01,0.00118
"215","MIO_T","N2O","LV",2019-01-01,0.00486
"216","MIO_T","N2O","MT",2019-01-01,0.00017
"217","MIO_T","N2O","NL",2019-01-01,0.02682
"218","MIO_T","N2O","PL",2019-01-01,0.07425
"219","MIO_T","N2O","PT",2019-01-01,0.01103
"220","MIO_T","N2O","RO",2019-01-01,0.03913
"221","MIO_T","N2O","SE",2019-01-01,0.01588
