"TIME","GEO","UNIT","LANDUSE","Value","Flag and Footnotes"
"2011","Portugal","Square kilometre","Land area - Total",":",""
"2011","Romania","Square kilometre","Total area","238.390,7",""
"2011","Romania","Square kilometre","Land area - Total","230.054,5",""
"2011","Slovenia","Square kilometre","Total area","20.273,0",""
"2011","Slovenia","Square kilometre","Land area - Total","20.138,0",""
"2011","Slovakia","Square kilometre","Total area","49.036,4",""
"2011","Slovakia","Square kilometre","Land area - Total","49.036,4",""
"2011","Finland","Square kilometre","Total area","338.430,5",""
"2011","Finland","Square kilometre","Land area - Total","303.892,5",""
"2011","Sweden","Square kilometre","Total area","441.369,5",""
"2011","Sweden","Square kilometre","Land area - Total","410.335,4",""
"2011","United Kingdom","Square kilometre","Total area","248.527,8",""
"2011","United Kingdom","Square kilometre","Land area - Total","242.509,2",""
"2012","Belgium","Square kilometre","Total area","30.528",""
"2012","Belgium","Square kilometre","Land area - Total","30.326",""
"2012","Bulgaria","Square kilometre","Total area","110.899,7",""
"2012","Bulgaria","Square kilometre","Land area - Total","108.932,0",""
"2012","Czechia","Square kilometre","Total area","78.866,0",""
"2012","Czechia","Square kilometre","Land area - Total","77.231,8",""
"2012","Denmark","Square kilometre","Total area","42.894,8",""
"2012","Denmark","Square kilometre","Land area - Total",":",""
"2012","Germany (until 1990 former territory of the FRG)","Square kilometre","Total area","357.137,2",""
"2012","Germany (until 1990 former territory of the FRG)","Square kilometre","Land area - Total",":",""
"2012","Estonia","Square kilometre","Total area","45.227,0",""
"2012","Estonia","Square kilometre","Land area - Total","43.432,0",""
"2012","Ireland","Square kilometre","Total area","69.797,0",""
"2012","Ireland","Square kilometre","Land area - Total","68.394,0",""
"2012","Greece","Square kilometre","Total area","132.049,0",""
"2012","Greece","Square kilometre","Land area - Total",":",""
"2012","Spain","Square kilometre","Total area","505.990,7",""
"2012","Spain","Square kilometre","Land area - Total","501.756,9",""
"2012","France","Square kilometre","Total area","632.833,6",""
"2012","France","Square kilometre","Land area - Total",":",""
"2012","Croatia","Square kilometre","Total area","56.594,0",""
"2012","Croatia","Square kilometre","Land area - Total",":",""
"2012","Italy","Square kilometre","Total area","301.336,0",""
"2012","Italy","Square kilometre","Land area - Total","295.114,0",""
"2012","Cyprus","Square kilometre","Total area","9.251,0",""
"2012","Cyprus","Square kilometre","Land area - Total","9.214,0",""
"2012","Latvia","Square kilometre","Total area","64.562,0",""
"2012","Latvia","Square kilometre","Land area - Total","62.199,0",""
"2012","Lithuania","Square kilometre","Total area","65.300,0",""
"2012","Lithuania","Square kilometre","Land area - Total","62.678,0",""
"2012","Luxembourg","Square kilometre","Total area","2.586,0",""
"2012","Luxembourg","Square kilometre","Land area - Total","2.586,0",""
"2012","Hungary","Square kilometre","Total area","93.023,7",""
"2012","Hungary","Square kilometre","Land area - Total",":",""
"2012","Malta","Square kilometre","Total area","316,0",""
"2012","Malta","Square kilometre","Land area - Total","316,0",""
"2012","Netherlands","Square kilometre","Total area","41.540,4",""
"2012","Netherlands","Square kilometre","Land area - Total","33.718,2",""
"2012","Austria","Square kilometre","Total area","83.879,0",""
"2012","Austria","Square kilometre","Land area - Total","82.409,0",""
"2012","Poland","Square kilometre","Total area","312.679,0",""
"2012","Poland","Square kilometre","Land area - Total",":",""
"2012","Portugal","Square kilometre","Total area","92.212,0","bp"
"2012","Portugal","Square kilometre","Land area - Total",":",""
"2012","Romania","Square kilometre","Total area","238.390,7",""
"2012","Romania","Square kilometre","Land area - Total","230.163,7",""
"2012","Slovenia","Square kilometre","Total area","20.273,0",""
"2012","Slovenia","Square kilometre","Land area - Total","20.138,0",""
"2012","Slovakia","Square kilometre","Total area","49.036,0",""
"2012","Slovakia","Square kilometre","Land area - Total","49.036,0",""
"2012","Finland","Square kilometre","Total area","338.432,1",""
"2012","Finland","Square kilometre","Land area - Total","303.892,8",""
"2012","Sweden","Square kilometre","Total area","438.575,8","b"
"2012","Sweden","Square kilometre","Land area - Total","407.339,7","b"
"2012","United Kingdom","Square kilometre","Total area","248.527,8",""
"2012","United Kingdom","Square kilometre","Land area - Total","242.509,2",""
"2013","Belgium","Square kilometre","Total area","30.528",""
"2013","Belgium","Square kilometre","Land area - Total","30.326",""
"2013","Bulgaria","Square kilometre","Total area","110.899,7",""
"2013","Bulgaria","Square kilometre","Land area - Total","108.932,0",""
"2013","Czechia","Square kilometre","Total area","78.866,2",""
"2013","Czechia","Square kilometre","Land area - Total","77.226,5",""
"2013","Denmark","Square kilometre","Total area","42.915,7",""
"2013","Denmark","Square kilometre","Land area - Total",":",""
"2013","Germany (until 1990 former territory of the FRG)","Square kilometre","Total area","357.167,9",""
"2013","Germany (until 1990 former territory of the FRG)","Square kilometre","Land area - Total",":",""
"2013","Estonia","Square kilometre","Total area","45.227,0",""
"2013","Estonia","Square kilometre","Land area - Total","43.432,0",""
"2013","Ireland","Square kilometre","Total area","69.797,0",""
"2013","Ireland","Square kilometre","Land area - Total","68.394,0",""
"2013","Greece","Square kilometre","Total area","132.049,0",""
"2013","Greece","Square kilometre","Land area - Total",":",""
"2013","Spain","Square kilometre","Total area","505.990,7",""
"2013","Spain","Square kilometre","Land area - Total","501.756,9",""
"2013","France","Square kilometre","Total area","632.833,6",""
"2013","France","Square kilometre","Land area - Total",":",""
"2013","Croatia","Square kilometre","Total area","56.594,0",""
"2013","Croatia","Square kilometre","Land area - Total",":",""
"2013","Italy","Square kilometre","Total area","302.073,0","b"
"2013","Italy","Square kilometre","Land area - Total",":",""
"2013","Cyprus","Square kilometre","Total area","9.251,0",""
"2013","Cyprus","Square kilometre","Land area - Total","9.214,0",""
"2013","Latvia","Square kilometre","Total area","64.573,0",""
"2013","Latvia","Square kilometre","Land area - Total","62.210,0",""
"2013","Lithuania","Square kilometre","Total area","65.300,0",""
