"","geo","time","values"
"300","MD","2015",3555159
"301","ME","2015",622099
"302","MK","2015",2069172
"303","MT","2015",439691
"304","NL","2015",16900726
"305","NO","2015",5166493
"306","PL","2015",38005614
"307","PT","2015",10374822
"308","RO","2015",19870647
"309","RS","2015",7114393
"310","SE","2015",9747355
"311","SI","2015",2062874
"312","SK","2015",5421349
"313","SM","2015",32789
"314","TR","2015",77695904
"315","UA","2015",42759661
"316","UK","2015",64853393
"317","XK","2015",1804944
"318","AD","2016",71732
"319","AL","2016",2875592
"320","AM","2016",2998577
"321","AT","2016",8700471
"322","AZ","2016",9705643
"323","BA","2016",3515982
"324","BE","2016",11311117
"325","BG","2016",7153784
"326","BY","2016",9498364
"327","CH","2016",8327126
"328","CY","2016",848319
"329","CZ","2016",10553843
"330","DE","2016",82175684
"331","DK","2016",5707251
"332","EA18","2016",336899429
"333","EA19","2016",339787987
"334","EE","2016",1315944
"335","EL","2016",10783748
"336","ES","2016",46440099
"337","EU27_2007","2016",505991205
"338","EU27_2020","2016",444802830
"339","EU28","2016",510181874
"340","FI","2016",5487308
"341","FR","2016",66638391
"342","GE","2016",3720400
"343","HR","2016",4190669
"344","HU","2016",9830485
"345","IE","2016",4726286
"346","IS","2016",332529
"347","IT","2016",60665551
"348","LI","2016",37622
"349","LT","2016",2888558
"350","LU","2016",576249
"351","LV","2016",1968957
"352","MC","2016",38200
"353","MD","2016",3553056
"354","ME","2016",622218
"355","MK","2016",2071278
"356","MT","2016",450415
"357","NL","2016",16979120
"358","NO","2016",5210721
"359","PL","2016",37967209
"360","PT","2016",10341330
"361","RO","2016",19760585
"362","RS","2016",7076372
"363","SE","2016",9851017
"364","SI","2016",2064188
"365","SK","2016",5426252
"366","SM","2016",33005
"367","TR","2016",78741053
"368","UA","2016",42590879
"369","UK","2016",65379044
"370","XK","2016",1771604
"371","AL","2017",2876591
"372","AM","2017",2986151
"373","AT","2017",8772865
"374","AZ","2017",9809981
"375","BA","2017",3509728
"376","BE","2017",11351727
"377","BG","2017",7101859
"378","BY","2017",9504704
"379","CH","2017",8419550
"380","CY","2017",854802
"381","CZ","2017",10578820
"382","DE","2017",82521653
"383","DK","2017",5748769
"384","EA18","2017",337693238
"385","EA19","2017",340541142
"386","EE","2017",1315635
"387","EL","2017",10768193
"388","ES","2017",46528024
"389","EU27_2007","2017",507224359
"390","EU27_2020","2017",445534430
"391","EU28","2017",511378572
"392","FI","2017",5503297
"393","FR","2017",66809816
"394","GE","2017",3726374
"395","HR","2017",4154213
"396","HU","2017",9797561
"397","IE","2017",4784383
"398","IS","2017",338349
"399","IT","2017",60589445
"400","LI","2017",37810
"401","LT","2017",2847904
"402","LU","2017",590667
"403","LV","2017",1950116
"404","MD","2017",3550852
"405","ME","2017",622387
"406","MK","2017",2073702
"407","MT","2017",460297
"408","NL","2017",17081507
"409","NO","2017",5258317
"410","PL","2017",37972964
"411","PT","2017",10309573
"412","RO","2017",19643949
"413","RS","2017",7040272
"414","SE","2017",9995153
"415","SI","2017",2065895
"416","SK","2017",5435343
"417","SM","2017",33196
"418","TR","2017",79814871
"419","UA","2017",42414905
"420","UK","2017",65844142
"421","XK","2017",1783531
"422","AD","2018",74794
"423","AL","2018",2870324
"424","AM","2018",2972732
"425","AT","2018",8822267
"426","AZ","2018",9898085
"427","BA","2018",3500295
"428","BE","2018",11398589
"429","BG","2018",7050034
"430","BY","2018",9491823
"431","CH","2018",8484130
"432","CY","2018",864236
"433","CZ","2018",10610055
"434","DE","2018",82792351
"435","DK","2018",5781190
"436","EA18","2018",338444103
"437","EA19","2018",341253004
"438","EE","2018",1319133
"439","EL","2018",10741165
"440","ES","2018",46658447
"441","EU27_2007","2018",508376640
"442","EU27_2020","2018",446208557
"443","EU28","2018",512482133
"444","FI","2018",5513130
"445","FR","2018",67026224
"446","GE","2018",3729633
"447","HR","2018",4105493
"448","HU","2018",9778371
"449","IE","2018",4830392
"450","IS","2018",348450
"451","IT","2018",60483973
"452","LI","2018",38114
"453","LT","2018",2808901
"454","LU","2018",602005
"455","LV","2018",1934379
"456","MC","2018",38300
"457","MD","2018",3547539
"458","ME","2018",622359
"459","MK","2018",2075301
"460","MT","2018",475701
"461","NL","2018",17181084
"462","NO","2018",5295619
"463","PL","2018",37976687
"464","PT","2018",10291027
"465","RO","2018",19533481
"466","RS","2018",7001444
"467","SE","2018",10120242
"468","SI","2018",2066880
"469","SK","2018",5443120
"470","SM","2018",34453
"471","TR","2018",80810525
"472","UA","2018",42216766
"473","UK","2018",66273576
"474","XK","2018",1798506
"475","AD","2019",76177
"476","AL","2019",2862427
"477","AM","2019",2965269
"478","AT","2019",8858775
"479","AZ","2019",9981457
"480","BA","2019",3492018
"481","BE","2019",11455519
"482","BG","2019",7000039
"483","BY","2019",9427348
"484","CH","2019",8544527
"485","CY","2019",875899
"486","CZ","2019",10649800
"487","DE","2019",83019213
"488","DK","2019",5806081
"489","EA18","2019",338729883
"490","EA19","2019",341524067
"491","EE","2019",1324820
"492","EL","2019",10724599
"493","ES","2019",46937060
"494","EU27_2007","2019",509017310
"495","EU27_2020","2019",446446444
"496","EU28","2019",513093556
"497","FI","2019",5517919
"498","FR","2019",67177636
"499","GE","2019",3723464
"500","HR","2019",4076246
"501","HU","2019",9772756
"502","IE","2019",4904240
"503","IS","2019",356991
"504","IT","2019",59816673
"505","LI","2019",38378
"506","LT","2019",2794184
"507","LU","2019",613894
"508","LV","2019",1919968
"509","MC","2019",38300
"510","ME","2019",622182
"511","MK","2019",2077132
"512","MT","2019",493559
"513","NL","2019",17282163
"514","NO","2019",5328212
"515","PL","2019",37972812
"516","PT","2019",10276617
"517","RO","2019",19414458
"518","RS","2019",6963764
"519","SE","2019",10230185
"520","SI","2019",2080908
"521","SK","2019",5450421
"522","SM","2019",34590
"523","TR","2019",82003882
"524","UA","2019",41983564
"525","UK","2019",66647112
"526","XK","2019",1795666
"527","AD","2020",77543
"528","AL","2020",2845955
"529","AM","2020",2959694
"530","AT","2020",8901064
"531","AZ","2020",10067108
"532","BE","2020",11522440
"533","BG","2020",6951482
"534","BY","2020",9408350
"535","CH","2020",8606033
"536","CY","2020",888005
"537","CZ","2020",10693939
"538","DE","2020",83166711
"539","DK","2020",5822763
"540","EA18","2020",339615299
"541","EA19","2020",342409389
"542","EE","2020",1328889
"543","EL","2020",10718565
"544","ES","2020",47332614
"545","EU27_2007","2020",510287206
"546","EU27_2020","2020",447319829
"547","EU28","2020",514345371
"548","FI","2020",5525292
"549","FR","2020",67320216
"550","GE","2020",3716858
"551","HR","2020",4058165
"552","HU","2020",9769526
"553","IE","2020",4964440
"554","IS","2020",364134
"555","IT","2020",59641488
"556","LI","2020",38747
"557","LT","2020",2794090
"558","LU","2020",626108
"559","LV","2020",1907675
"560","ME","2020",621873
"561","MK","2020",2076255
"562","MT","2020",514564
"563","NL","2020",17407585
